1,index,ilpaese,IMG_20130223_142608.jpg,Neve a Barberino,La terrazza innevata lato torrente Stura ,https://it.wikipedia.org/wiki/Lago_di_Bilancino,La nevicata del 2012 sulla terrazza con vista sul torrente Stura.
2,index,ilpaese,sea.jpg,Il lago di Bilancino,Il lago di Bilancino è l'invaso artificiale più esteso d'Europa.,https://it.wikipedia.org/wiki/Lago_di_Bilancino,"La diga è costituita da un imponente bastione che adattandosi parzialmente all'orografia del sito definisce il margine sud-orientale del lago; tale bastione presenta sul versante orientale una scarpata terrazzata rivestita di manto erboso e scandita da camminamenti d'ispezione sia in verticale che in orizzontale; sul versante verso il lago, un'interrotta pendenza in massi calcarei e ciottoli di ghiaia. Sul culmine di tale sezione triangolare è posizionata la viabilità di servizio che, partendo dalla variante della statale della Futa in coincidenza con l'abitato di Bilancino, conduce ai due corpi della casa di guardia e della torre di presa, collegate da un'aerea passerella metallica. La viabilità di collegamento, dall'andamento sinuoso e dal carattere panoramico, è scandita regolarmente da speroni triangolari (alternativamente a monte e a valle) aventi funzione di sosta e di controllo. "
14,index,ilpaese,sala1_2.jpg,La Sala comune,Il Paese,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
15,index,ilpaese,lapiazza_1.jpg,La Camera sulla Piazza,Camera Matrimoniale con affaccio sulla piazza,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
16,index,ilpaese,lago.jpg,Il Paese,Il Paese,https://it.wikipedia.org/wiki/Santuario_di_Montesenario,Il Paese
19,camere,camere,anni60_3.jpg,Anni 60,Camera da letto con letto matrimoniale,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con letto matrimoniale
22,ilpaese,ilpaese,cafaggiolo_2.jpg,Il Castello di Cafaggiolo,Il Castello di Cafaggiolo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
23,ilpaese,ilpaese,cafaggiolo.jpg,Il Castello di Cafaggiolo,Il Castello Mediceo di Cafaggiolo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
24,ilpaese,ilpaese,loggemedicee.jpg,Logge Medicee,Le Logge Medicee del Michelozzo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
25,ilpaese,ilpaese,piazzacavour.jpg,Piazza Cavour,La Piazza principale del Paese,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
26,ilpaese,ilpaese,palazzopretorio.jpg,Palazzo Pretorio,Il Palazzo Pretorio - Oggi sede della Biblioteca Comunale,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
27,ilpaese,ilpaese,lagobilancino.jpg,Il Lago di Bilancino,Il Lago di Bilancino,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
28,ilpaese,ilpaese,lagobilancino_2.jpg,Il Lago di Bilancino,Il Lago di Bilancino,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
29,ilpaese,ilpaese,triathlon.jpg,Gara di Triathlon,Gara Nazionale di Triathlon,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
30,ilpaese,ilpaese,lagobilancinovela.jpg,Vela sul Lago,Vela sul Lago di Bilancino,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
31,ilpaese,ilpaese,designeroutlet.jpg,Outlet della moda,Designer Outlet di Barberino di Mugello,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Il Paese
32,index,camere,anni60_1.jpg,Anni 60,Camera con letto matrimoniale,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con letto matrimoniale
33,index,camere,anni70_2.jpg,Anni 70,Camera con letto matrimoniale,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con 2 letti singoli
34,index,camere,anni70_3.jpg,Anni 70,Camera con letto 1 piazza e e mezzo + letto singolo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con 2 letti singoli
35,index,camere,anni60_2.jpg,Anni 60,Camera con letto matrimoniale,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con letto matrimoniale
36,index,camere,anni70_3.jpg,Anni 70,Camera con letto 1 piazza e e mezzo + letto singolo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con 2 letti singoli
37,index,camere,anni70_4.jpg,Anni 70,Camera con 2 letti singoli,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con 2 letti singoli
38,index,camere,lapiazza_1.jpg,La Piazza,Camera con letto 1 piazza e mezzo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con letto 1 piazza e mezzo
39,index,camere,anni70_5.jpg,Anni 70,Camera con 2 letti singoli,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con 2 letti singoli
40,index,camere,lapiazza_1.jpg,La Piazza,Camera con letto 1 piazza e mezzo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Camera con letto 1 piazza e mezzo
41,index,lasala,sala1.jpg,Sala Comune,Sala Colazione e relax,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
42,index,lasala,sala2.jpg,Sala Comune,Sala Colazione e relax,https://it.wikipedia.org/wiki/Monte_Giovi,
43,index,lasala,sala3.jpg,Sala comune,Sala colazione e relax,https://it.wikipedia.org/wiki/Santuario_di_Montesenario,
44,index,ilpaese,cafaggiolo_2.jpg,Il Castello di Cafaggiolo,Il Castello di Cafaggiolo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
45,index,ilpaese,cafaggiolo.jpg,Il Castello di Cafaggiolo,Il Castello Mediceo di Cafaggiolo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,"Il Castello Mediceo di Cafaggiolo - inserito,nel 2013, nella lista UNESCO come patrimonio dell'umanità"
46,index,ilpaese ,loggemedicee.jpg,Logge Medicee,Le Logge Medicee del Michelozzo,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Le Logge medicee di Barberino progettate da Michelozzo.
47,index,ilpaese,piazzacavour.jpg,Piazza Cavour,La Piazza principale del Paese,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
48,index,ilpaese ,palazzopretorio.jpg,Palazzo Pretorio,Il Palazzo Pretorio - Oggi sede della Biblioteca Comunale,https://it.wikipedia.org/wiki/Lago_di_Bilancino,Oggi sede della Biblioteca Comunala.
49,index,ilpaese ,triathlon.jpg,Gara di Triathlon,Gara Nazionale di Triathlon,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
50,index,ilpaese,lagobilancino.jpg,Il Lago di Bilancino,Il Lago di Bilancino,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
51,index,ilpaese,lagobilancino_2.jpg,Il Lago di Bilancino,Il Lagodi Bilancino,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
52,index,ilpaese,lagobilancinovela.jpg,Vela sul Lago,Vela sul Lago di Bilancino,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
53,index,ilpaese,designeroutlet.jpg,Outlet della moda,Il Designer Outlet di Barberino di Mugello,https://it.wikipedia.org/wiki/Lago_di_Bilancino,
